gene_name	BLCA:exp	BLCA:dna	BLCA:muation	BRCA:exp	BRCA:dna	BRCA:muation	CHOL:exp	CHOL:dna	CHOL:muation	COAD:exp	COAD:dna	COAD:muation	ESCA:exp	ESCA:dna	ESCA:muation	HNSC:exp	HNSC:dna	HNSC:muation	KIRC:exp	KIRC:dna	KIRC:muation	KIRP:exp	KIRP:dna	KIRP:muation	LIHC:exp	LIHC:dna	LIHC:muation	LUAD:exp	LUAD:dna	LUAD:muation	LUSC:exp	LUSC:dna	LUSC:muation	PAAD:exp	PAAD:dna	PAAD:muation	PRAD:exp	PRAD:dna	PRAD:muation	READ:exp	READ:dna	READ:muation	THCA:exp	THCA:dna	THCA:muation	UCEC:exp	UCEC:dna	UCEC:muation	label
APP	-0.2687509978376055	0.2546786188675151	0.3568245906274848	-0.1391430885804728	-0.2061722147946202	1.2970679903616342	0.1132324237723822	-0.513955303056517	2.3182521952969246	0.1173284023666938	-0.1286290477319638	0.599753314851213	-0.0142684661280241	-1.0442050729883654	0.7788330207110128	1.2276754399105936	-0.0466589327412337	1.0110419422462156	-0.4119668354288709	1.2986128014406997	-0.936946727669201	-0.1917607267677462	0.902757544283698	-0.9049517931737532	-0.5323351461200403	0.1871494203845834	1.5222052414699914	-0.0507794968440589	0.029237245979875	0.722111912558668	0.1914363491642858	0.2758150717356467	0.3514988907995403	0.0944801364830049	0.0054112956129761	0.3257825294656697	-0.1980187070450537	-0.1179447529167033	-0.9493284295920216	0.1862591859878239	-0.4529569083334727	0.947419465894237	-0.3077367001311663	0.4442543685693482	-0.4401846017127709	0.120823610288537	-0.1222174555138605	0.8255786665071415	0
EGFR	0.2879919193119484	0.0587019380074606	0.590182570076453	-2.421894297900027	-1.0520844106148806	1.361551956354203	-1.0626481105284995	-0.0335784967211667	-0.394420157951759	-0.7506702889564648	0.7401359684041781	1.1383365179479277	0.2785621774093816	0.1673661532387954	1.737911410700788	1.1594731765497206	0.4580160319543642	1.9843790801440524	1.3111930751933898	-1.4789953547161343	1.2995549879795922	0.6331437327265652	0.2351365727551314	-0.9049517931737532	-0.674446516921159	0.4521458114166594	1.7880046533912577	0.1788955414004998	-0.3719610000734869	5.093296101009775	0.74295027026197	-0.0905548606838132	1.020654164303907	0.6362793326937166	-1.0426479910093591	0.2359384130141139	-0.2069256906063453	1.1672173600478206	1.543600592022229	-0.5016099198165448	0.5086049485224374	0.1559243938426928	0.3493283910293375	-1.0048084747414698	-0.4401846017127709	-0.6101146173478419	0.3525664340789041	0.69425804775312	1
EFTUD2	0.8032149102689313	0.3344144216340194	0.4832361082701394	0.4333338626764768	0.033200669578318	0.8658428351022158	0.3714013535299326	-0.1272446463507351	-0.394420157951759	0.673668728517881	0.1838880206553592	0.3462597444899215	0.8503835784057662	-0.2842554024019837	0.8084704145550956	0.508419056788226	0.231470211457634	0.8370569526245105	0.2985045977974324	-0.280021803553425	0.8962659278330236	0.729458396100526	-0.4067368042012172	1.112038384352748	0.5876474614801782	0.1265392124448855	0.7541442994134749	0.6079314990021037	0.126696926662344	0.3817504871134857	0.6886793036723946	0.2674458564383543	0.5056469196606573	-0.2526414297499832	-0.2067370349503863	2.5101868236692755	0.2404949932232942	-0.3766896820180358	0.4934573344426382	0.7219936793349071	0.3651519748307105	0.0916027009274885	0.3444904733643263	0.078301346491762	1.7073906740943603	0.453197265187029	0.4485491765068121	0.7246564724745819	0
UBC	-0.5705275431685972	-0.0550961452260283	0.6626016018279747	0.0028392803327812	-0.1883110515881555	1.7092222529743062	-0.1853338357031933	0.1827918335662415	-0.394420157951759	-0.0005322338094	0.0206918855710254	-0.7279482662432659	-0.3452195272537652	-0.1891120280115756	-0.9731109792937064	-0.248802166207057	-0.0050052892376206	0.6324053802763409	0.6772646416813517	-0.8569177125711657	1.3155778994374598	0.3908234719199152	-1.2357799467967665	1.5691690464957162	0.1031967852174077	0.1243423587831998	0.3932565583841358	0.0268802397391226	-0.2444910964327619	1.005682432851485	0.0383494870569685	-0.0400642290099125	0.3862760880660332	0.1786614988385199	-0.6007767351903175	0.7569893942837211	-0.2529197186531034	-0.6747326250073411	-0.9493284295920216	-0.0320496219103279	0.2335637510322583	-1.2449082027143423	-0.2501310837041539	-0.3573429307874581	1.708606688956123	-0.1128903416646255	-0.4369449649301765	-0.1734299528421156	0
XPO1	0.6139315068999416	0.2430770894528811	0.2661637909766947	0.4815096620176904	-0.1556139057612043	1.618130614491058	0.2354231424842454	-0.2194058023723347	-0.394420157951759	0.4405160535502127	0.0967539565781901	-0.5262708930090135	0.8254472513936963	0.0178063972407789	0.7549290799447933	0.5479848588494609	0.2299090752386299	0.7983597853203539	0.2622319736187704	0.2828470263437663	1.6082849577950225	0.6135821348986424	-0.1927079499701312	1.072221253764858	0.5432526807956832	0.3220081995604459	0.6592786040549217	0.6751839523923139	0.1381104870764417	0.369085264752919	0.813789372276823	0.2542041604675201	-0.2423935539830696	-0.0778243863254647	-0.0332565915769434	-0.4481331686288978	0.094274141612268	-0.2478059673235507	-0.9493284295920216	0.5598832241543908	0.4225886406826308	0.8548955465637725	0.0003719376285011	0.2247383503402706	-0.4401846017127709	0.2906867336371439	0.2803653085472661	-0.1996654515610685	1
RNF4	0.0178977093724558	0.2157696747265992	-0.4556684882431659	0.4225303522859281	-0.1783920576212217	-1.510251392118005	0.3590615038445259	-0.1734734649424781	-0.394420157951759	0.0582100385943374	0.2550385787653333	-1.2814867102470593	-0.0778428856805204	-0.0749179389316364	-0.9731109792937064	0.2349343917496627	0.1383412439722722	-0.1745946178882824	0.1374593379599617	-0.6062725061103815	0.8991069407984342	0.1958787840430581	-0.6399348004436616	-0.9049517931737532	0.4197779509859535	0.1970749598486011	-1.242268870937822	0.3755192829757867	0.0412668964929023	-1.470060888699416	0.2687293338026285	0.2256051208172363	-1.484058583715942	-0.3218454866401807	0.1752278664222034	-0.9202226373989671	0.4228987879228197	-0.7241308568348026	-0.9493284295920216	0.1751266625450404	0.261325599426313	-1.2449082027143423	0.0528571915524207	-0.2389601524553592	-0.4401846017127709	0.2370712880848978	0.1431291524078027	-0.9359450982020004	0
CUL3	-0.389591180376805	0.4154405691455652	0.6026167710048167	0.2639432215795376	-0.3608931470520056	0.9069309639668706	-0.1291570874429601	-0.1780566291137215	-0.394420157951759	-0.0196100400434967	0.1607209119858126	0.5122606159966664	-0.1241438813177377	0.2535282921184449	0.8100443674635295	-0.6768644875142192	0.0428403873760778	2.159240102374876	-0.382863499074715	-0.0146428301518417	1.964458642338416	-0.1870957796458003	-0.0195302274065187	4.026351598173359	-0.2486560649406884	0.5892586097848909	-1.242268870937822	0.1181401588224091	0.2370892765137995	0.7879892326284528	0.0749676398749649	0.1869382023114241	2.214078330715332	0.1598672271644699	0.3527531378030744	0.0408603854359906	0.2313542609313946	-0.1768426725510257	1.936225970602336	0.1420929977989333	0.2987332428477738	-1.2449082027143423	-0.2469656279055223	0.0747353203866978	1.7036898996944811	-0.0040975919790809	0.2746115879085978	1.0911865259524296	1
TP53	0.189851679055786	0.0062662890155028	11.43579811351485	0.2631836078158591	-0.0209132384226904	15.650766197759898	0.6555904247746204	-0.2968864942129156	5.39682640582011	0.3914898188721694	0.1590752569816718	9.80318938082837	0.3630645924628904	-0.1683989157001921	15.591288378681698	-0.6619135991160042	0.0803624536953104	17.45169085701742	0.416018390150191	0.010029084352807	3.49284755285757	0.9324825667648836	-0.3668513353807315	2.847186502935619	-0.0239304098829506	0.1132727798120021	10.746434522841207	0.5042249996773481	-0.2945527265602121	9.933691642367393	0.5009272177736317	-0.1737781968770357	13.452532313926255	-0.6288405883803918	-0.1806562008447618	15.686506377899256	0.71386811681888	-0.5106536209988961	9.74640627144529	0.4828938446803962	0.3295254609093984	11.677226335386976	0.5620359878116776	0.1664976832575195	3.2567960671413267	0.6990519533833186	-0.0929649023972981	5.709662223738676	1
BRCA1	1.5200838713966776	-1.133044129877149	2.291317761095981	0.9957962637853364	-0.6458086935302414	2.863935651424417	0.5505533396005933	0.1121011352460053	-0.394420157951759	1.0243051551015865	-0.1117383194759212	0.1487891264754841	1.6272086320811945	-1.216495875474602	-0.9731109792937064	1.0793974516998814	-0.8846380632513083	1.6021675617699276	0.7012681711570793	0.5698943282366105	1.641457453417929	1.3368197849028962	-0.3675263807927864	1.542076074863223	0.7839795263019146	-0.1718072497211348	1.278463208820733	1.174452004679727	-0.8995619964753797	1.3259980234854596	1.4299300280707326	-0.9354640866767788	2.153158572208532	0.1615599481701239	-0.3938696730776173	1.0369427487213765	0.509729138154042	-0.4467800624273199	0.4729912379017129	0.8971080804660122	0.1701764091667263	0.1712441134179374	-0.164573355386089	1.08427045804726	2.5885978174902533	0.8378425734235896	-1.6047626752627544	0.7789120949082771	1
GRB2	0.0684576086742811	0.0848115504627458	-0.8304267227629478	0.6267259841067028	-0.2652264973056495	-0.1985864149433279	0.0493171951397146	-0.3527506990100499	2.349979635634562	-0.2353933282673313	0.3032431096970038	-0.8441244523742506	0.3439468132731317	-0.0163195405503188	-0.9731109792937064	0.3195245297295462	0.0594422832955568	-0.49946424174975	0.1633532553836108	0.0145768906220099	-0.936946727669201	0.6979654699193945	-0.0464942073926715	-0.9049517931737532	0.3442313997070984	0.2756032361500302	-1.242268870937822	-0.0389107431080478	-0.4487307113878176	0.2777482915977868	-0.0629251144917267	-0.1931217547805357	-1.484058583715942	-0.7163151036978506	-0.5724811787795715	-0.9202226373989671	0.0819752343157141	-0.1003092514673495	0.4937148915592156	-0.145508848679521	0.5551209096296	-0.4109242319623028	0.1670370618929663	-0.2747459796713049	-0.4401846017127709	-0.0991041708737283	0.3791243871886388	-1.010696407347013	0
